"season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","predictions"
"2","1","6","0","3",1,"1",0.7825,0.720975,0.592083,0.113812,6211,6401.38778623377
"1","1","1","0","2",1,"1",0.308696,0.318826,0.646522,0.187552,3598,3778.67419215994
"3","0","9","1","1",0,"2",0.673333,0.625646,0.790417,0.212696,3351,3944.14947435897
"3","0","7","0","0",0,"1",0.719167,0.669833,0.604167,0.245033,5302,4982.5504345283
"1","1","1","0","5",1,"1",0.274167,0.249362,0.5075,0.378108,3214,2932.65819224399
"1","0","2","0","2",1,"1",0.220833,0.198246,0.537917,0.36195,1530,1550.25621208514
"1","1","3","0","6",0,"1",0.2875,0.277767,0.350417,0.22575,4118,3786.23896624945
"1","1","1","0","3",1,"1",0.294167,0.294821,0.64375,0.161071,4270,4023.80205077338
"4","0","10","0","5",1,"1",0.510833,0.504404,0.684167,0.0223917,4985,4981.63397915221
"4","1","11","0","5",1,"1",0.355,0.356042,0.522083,0.266175,5847,5661.76086950716
"2","1","6","0","6",0,"1",0.710833,0.648367,0.437083,0.144287,7498,7332.98108061543
"4","1","10","0","3",1,"2",0.6575,0.599133,0.79375,0.0665458,7572,6869.95215787546
"1","0","2","0","1",1,"1",0.415,0.39835,0.375833,0.417908,1913,2282.02858513709
"1","1","2","0","1",1,"1",0.282609,0.296426,0.622174,0.1538,3784,3812.46088908507
"1","0","1","0","6",0,"1",0.0591304,0.0790696,0.4,0.17197,981,1144.22898127706
"3","0","7","0","2",1,"1",0.794167,0.739275,0.559167,0.200254,4258,4428.23970954471
"1","1","1","0","5",1,"1",0.334167,0.340267,0.542083,0.167908,4098,4037.61747106714
"2","1","5","0","0",0,"1",0.6125,0.585238,0.57625,0.225117,6118,6501.23254989648
"2","0","4","0","4",1,"1",0.4675,0.462742,0.540417,0.1107,3267,3748.62279004329
"4","1","12","0","3",1,"2",0.2975,0.297338,0.538333,0.162937,5319,5118.5255501332
"2","1","5","0","0",0,"2",0.5625,0.546737,0.74,0.149879,6359,6121.92046746032
"3","1","9","0","5",1,"1",0.703333,0.657204,0.73625,0.171646,7504,7147.8618078007
"3","1","9","0","4",1,"2",0.696667,0.655329,0.810417,0.142421,6203,6140.72273565324
"2","1","4","0","1",1,"1",0.489167,0.476638,0.3175,0.358196,5585,5691.50759707582
"2","1","6","0","5",1,"1",0.649167,0.597862,0.467917,0.175383,7736,7498.27986049604
"3","0","6","0","6",0,"1",0.695,0.643313,0.483333,0.209571,5202,5249.64323161152
"4","0","12","0","0",0,"1",0.220833,0.253154,0.49,0.0665417,2743,2843.70479955437
"2","0","4","0","3",1,"1",0.595,0.564392,0.614167,0.241925,3944,4218.69878943556
"2","0","3","0","5",1,"1",0.264167,0.256312,0.495,0.230725,2210,2306.2294029304
"1","0","1","0","6",0,"1",0.196522,0.212126,0.651739,0.145365,1098,1149.17467954545
"2","0","5","0","6",0,"1",0.6025,0.571975,0.626667,0.12065,5805,5417.62393195595
"3","0","9","0","5",1,"2",0.65,0.578946,0.897917,0.124379,3544,3688.34578749029
"3","1","9","0","2",1,"1",0.5775,0.554292,0.52,0.0920542,7767,7536.24619422322
"4","0","10","0","1",1,"1",0.34,0.356063,0.703333,0.10635,3669,3618.92995518207
"3","1","6","0","4",1,"1",0.749167,0.675512,0.4225,0.17165,6879,6916.07284829833
"3","1","7","0","2",1,"2",0.720833,0.664796,0.6675,0.151737,6290,6609.07547093462
"4","1","10","0","1",1,"1",0.4875,0.482942,0.568333,0.0814833,7058,6787.95072832785
"4","0","10","0","5",1,"2",0.550833,0.529675,0.71625,0.223883,3644,3983.59048705739
"3","1","9","0","3",1,"1",0.736667,0.708983,0.74125,0.187808,7112,6924.3258925643
"2","0","5","0","3",1,"1",0.660833,0.615542,0.69625,0.154233,4978,4838.7012780822
"4","0","11","0","5",1,"1",0.375,0.380671,0.64375,0.0988958,2792,3229.5135789916
"2","1","5","0","2",1,"2",0.613333,0.577021,0.659583,0.156096,5740,5989.76065714286
"3","1","9","0","5",1,"1",0.599167,0.571971,0.66875,0.154229,8167,7842.67751330709
"2","1","5","0","6",0,"1",0.564167,0.544817,0.480417,0.123133,7429,7341.89272669386
"3","1","9","0","1",1,"1",0.583333,0.565654,0.50375,0.258713,7525,7452.39428766021
"3","1","7","0","0",0,"1",0.721667,0.667933,0.62375,0.170396,6597,6512.5089476615
"2","1","5","0","5",1,"1",0.6275,0.590917,0.735417,0.162938,6296,6521.64530199071
"2","0","4","0","3",1,"2",0.4125,0.417283,0.819167,0.250617,2162,2462.94321919192
"4","0","11","0","6",0,"1",0.356667,0.357942,0.552917,0.212062,4067,3666.85435751862
"1","0","2","0","0",0,"1",0.285217,0.27733,0.407826,0.223235,1812,1867.45704123377
"4","0","10","0","1",1,"1",0.534167,0.510725,0.579583,0.175379,4570,4623.42541025648
"1","1","12","0","0",0,"1",0.255833,0.2317,0.483333,0.350754,1796,1940.09893809524
"4","0","10","0","0",0,"1",0.540833,0.523983,0.7275,0.06345,5511,5168.05514802631
"2","0","5","0","1",1,"2",0.631667,0.590296,0.81,0.233842,4274,4218.53724362304
"1","1","3","0","6",0,"2",0.514167,0.505046,0.755833,0.110704,7836,6900.38927857143
"4","0","10","0","3",1,"3",0.543333,0.517717,0.90625,0.24815,2416,2758.74440416667
"1","0","2","0","4",1,"1",0.435833,0.428658,0.505,0.230104,2475,2803.20482178932
"2","1","5","0","2",1,"2",0.611667,0.576404,0.794583,0.147392,5115,5382.6642952381
"2","1","5","0","5",1,"1",0.68,0.627529,0.747083,0.14055,6734,6625.15574960976
"4","0","10","0","6",0,"1",0.4225,0.425492,0.629167,0.0926667,4308,4136.23479193421
"2","1","6","0","2",1,"1",0.688333,0.654692,0.69,0.148017,6825,6765.07773273919
"3","0","8","0","2",1,"1",0.783333,0.707071,0.49125,0.20585,4845,4711.57598930392
"4","0","12","0","1",1,"2",0.385833,0.393925,0.827083,0.0622083,3811,3651.16647538409
"4","0","12","0","1",1,"1",0.238333,0.270196,0.670833,0.06345,3310,3259.31387459044
"1","0","2","0","6",0,"1",0.2225,0.232954,0.544167,0.203367,1472,1514.10634722222
"1","0","1","0","6",0,"2",0.344167,0.363625,0.805833,0.160446,985,1356.52349191919
"4","1","10","0","2",1,"2",0.318182,0.309909,0.825455,0.213009,1096,2618.23118910256
"3","1","8","0","0",0,"1",0.700833,0.644579,0.530417,0.122512,6544,6676.6817574517
"3","1","9","0","3",1,"1",0.5525,0.540404,0.536667,0.215175,7591,7451.02882876028
"3","0","8","0","0",0,"1",0.710833,0.675525,0.77,0.248754,3873,4081.50496048535
"4","0","10","0","4",1,"1",0.475833,0.466525,0.63625,0.422275,4195,4081.38996985171
"3","1","7","0","4",1,"1",0.776667,0.739263,0.596667,0.284813,6861,6565.42011496316
"1","1","1","0","3",1,"2",0.1075,0.119337,0.414583,0.1847,2368,2439.26038074703
"2","1","3","0","1",1,"1",0.445833,0.43875,0.477917,0.386821,5558,5364.47959567263
"2","0","3","0","0",0,"2",0.253043,0.250339,0.493913,0.1843,1693,1944.53199523809
"2","1","4","0","5",1,"1",0.4575,0.452637,0.400833,0.347633,6233,6069.93967405995
"4","0","11","0","3",1,"2",0.440833,0.430537,0.757917,0.335825,2566,2832.60588927739
"1","0","12","0","3",1,"2",0.428333,0.428017,0.858333,0.2214,2660,2718.97535873016
"1","0","2","0","5",1,"1",0.521667,0.511983,0.516667,0.264925,2927,3310.17332272727
"1","0","12","0","2",1,"2",0.325,0.327633,0.7625,0.18845,1162,1713.53351883117
"4","1","10","0","4",1,"1",0.435,0.431167,0.463333,0.181596,7570,6863.6252151094
"3","0","8","0","2",1,"1",0.639167,0.594704,0.548333,0.125008,5204,5182.51932573479
"1","1","3","0","4",1,"1",0.5575,0.532825,0.579583,0.149883,6192,6193.74804645518
"3","0","9","0","0",0,"1",0.709167,0.665429,0.742083,0.206467,4940,4775.56276468703
"3","0","8","0","0",0,"1",0.7425,0.715292,0.752917,0.201487,3785,4089.5596065171
"2","0","5","0","0",0,"2",0.5625,0.536,0.867083,0.152979,4553,4367.9077025974
"4","1","12","0","6",0,"2",0.381667,0.389508,0.91125,0.101379,5582,4930.41720396826
"4","1","12","0","4",1,"1",0.255833,0.258204,0.50875,0.174754,5375,4747.09848459596
"1","1","1","0","4",1,"2",0.3825,0.381938,0.802917,0.180967,4097,3939.41054913171
"1","1","2","0","0",0,"1",0.1275,0.101658,0.464583,0.409212,1529,1875.47075714286
"4","1","10","0","3",1,"1",0.514167,0.503142,0.630833,0.187821,7691,7289.34783380195
"3","1","7","0","3",1,"1",0.793333,0.745583,0.577083,0.137442,5713,6076.23373366447
"2","1","4","0","3",1,"1",0.348696,0.337274,0.469565,0.295274,4862,4955.37720951242
"1","0","12","0","4",1,"2",0.423333,0.426121,0.7575,0.047275,3068,3061.71897777778
"2","0","5","0","2",1,"1",0.5325,0.522721,0.489167,0.115671,4803,4807.39584890812
"1","0","3","0","0",0,"2",0.376522,0.366252,0.948261,0.343287,605,1304.83280497835
"1","0","12","0","0",0,"1",0.274783,0.279961,0.681304,0.155091,754,1331.98419011544
"4","1","12","0","1",1,"2",0.393333,0.4015,0.907083,0.0982583,4585,4655.6152984127
"2","0","5","0","3",1,"2",0.414167,0.40465,0.737083,0.328996,2633,2782.59142620946
"1","0","3","0","5",1,"1",0.54,0.527009,0.525217,0.231017,3239,3494.60091796537
"3","0","8","0","6",0,"2",0.716667,0.676154,0.755,0.22825,4294,4269.80572839938
"3","0","7","0","3",1,"1",0.746667,0.689404,0.631667,0.146133,4342,4470.76404302235
"1","0","1","0","3",1,"2",0.292174,0.298422,0.741739,0.208317,1650,1695.6851132946
"4","0","9","0","5",1,"1",0.564167,0.544829,0.6475,0.206475,5202,4958.99911562962
"1","1","2","0","3",1,"1",0.395833,0.392667,0.567917,0.234471,4773,4532.87146766499
"3","1","6","0","2",1,"1",0.630833,0.594704,0.373333,0.347642,7442,7149.41990450644
"1","1","2","0","4",1,"1",0.454167,0.444446,0.554583,0.190913,5062,4857.24541278329
"1","1","2","0","2",1,"1",0.354167,0.361104,0.49625,0.147379,4375,4219.55473631578
"3","1","8","0","4",1,"1",0.755833,0.699508,0.620417,0.1561,7286,7120.09259340061
"1","0","1","0","0",0,"1",0.231667,0.234217,0.48375,0.188433,1204,1334.66667848219
"4","1","11","0","5",1,"1",0.298333,0.323867,0.649583,0.0584708,5668,5352.00625952482
"2","0","5","0","3",1,"2",0.55,0.527158,0.87,0.201492,3855,3875.70658741814
"2","1","5","0","1",1,"2",0.573333,0.5499,0.789583,0.212692,2843,4199.17075934066
"3","0","8","0","3",1,"1",0.723333,0.666671,0.575417,0.143667,4694,4735.32679068276
"1","1","2","0","1",1,"1",0.366667,0.357954,0.490833,0.268033,4322,4117.33953619907
"1","1","2","0","6",0,"1",0.290833,0.255675,0.395833,0.421642,2732,2893.16261870255
"2","0","5","0","5",1,"1",0.536667,0.529042,0.719583,0.125013,4917,4767.69693168971
"2","0","5","0","5",1,"1",0.479167,0.474117,0.59,0.228246,4608,4565.55221202669
"4","1","11","0","0",0,"1",0.3425,0.337746,0.692917,0.227612,4669,4662.98941005857
"2","1","5","0","2",1,"2",0.615,0.580825,0.765833,0.118167,6073,5882.18421515152
"3","1","8","0","6",0,"2",0.6925,0.638267,0.732917,0.206479,6299,6335.26876090576
"4","0","9","0","3",1,"2",0.635,0.575158,0.84875,0.148629,3907,4012.08009218004
"3","1","8","0","0",0,"2",0.653333,0.595996,0.845833,0.228858,5255,5149.28551880342
"2","1","5","0","6",0,"1",0.6925,0.642696,0.7325,0.198992,6536,6515.51539195997
"3","1","9","0","0",0,"1",0.58,0.563125,0.57,0.0901833,7333,7351.08643275515
"2","1","5","0","5",1,"1",0.564167,0.551121,0.523333,0.136817,7639,7268.74061853168
"2","1","4","0","0",0,"2",0.425833,0.417287,0.67625,0.172267,6041,5503.34604588745
"1","0","12","0","6",0,"1",0.3025,0.299242,0.5425,0.190304,1011,1560.55170241703
"2","0","5","0","6",0,"1",0.52,0.512621,0.54125,0.16045,4714,4849.50167460317
"1","0","2","0","4",1,"1",0.144348,0.149548,0.437391,0.221935,1538,1573.99551129149
"3","1","7","0","0",0,"1",0.815833,0.750629,0.51875,0.168529,5531,5678.46208174604
"4","0","11","0","2",1,"1",0.400833,0.397088,0.68375,0.135571,4068,3841.89510390002
"1","1","2","0","5",1,"1",0.343333,0.351629,0.634583,0.205846,4154,4074.97351369673
"4","1","10","1","1",0,"2",0.383333,0.387608,0.709583,0.189679,5478,4782.21833333334
"4","0","11","0","6",0,"1",0.326667,0.323854,0.519167,0.189062,3926,3712.80789085196
"1","1","3","0","5",1,"2",0.435833,0.436229,0.842083,0.113192,4378,4555.73860735931
"2","0","4","0","3",1,"2",0.62,0.575142,0.835417,0.3122,3872,3908.04548222333
"3","1","7","0","2",1,"1",0.818333,0.755683,0.505833,0.114429,6786,6316.69353008667
"2","1","4","0","6",0,"1",0.495,0.487996,0.502917,0.190917,7460,6782.22472979961
"4","0","12","0","5",1,"1",0.314167,0.331433,0.625833,0.100754,3940,3722.61392112724
"4","0","12","0","4",1,"2",0.4225,0.412237,0.634167,0.268042,3709,3656.62801731994
"1","0","3","0","0",0,"1",0.384348,0.380091,0.527391,0.270604,2417,2264.56788510101
"2","1","4","0","3",1,"2",0.463333,0.457038,0.569167,0.167912,4367,4936.30217380952
"2","0","6","0","5",1,"1",0.649167,0.600383,0.735833,0.143029,4844,4847.79262888859
"4","1","10","0","2",1,"3",0.590833,0.542333,0.871667,0.104475,4639,4577.87966666667
"3","1","8","0","0",0,"1",0.769167,0.731079,0.6525,0.290421,5464,5911.19887301587
"2","1","3","0","5",1,"2",0.37,0.375621,0.580833,0.138067,5459,4951.09417229437
"3","1","8","0","1",1,"1",0.703333,0.654688,0.730417,0.128733,6917,6820.9530047526
"3","0","8","0","1",1,"1",0.691667,0.638254,0.47,0.27675,4758,4773.11862861566
"2","1","4","0","6",0,"2",0.376667,0.377504,0.489583,0.129975,4220,4579.79336969697
"4","1","12","0","6",0,"2",0.298333,0.316904,0.806667,0.0597042,5191,4841.60606642247
"1","0","3","0","1",1,"1",0.325217,0.332,0.496957,0.136926,2046,2132.98335238095
"3","1","6","0","5",1,"1",0.7775,0.724121,0.57375,0.182842,5823,6194.97158473836
"1","0","1","0","6",0,"2",0.233333,0.248112,0.49875,0.157963,1248,1416.71957887902
"3","1","7","0","1",1,"1",0.763333,0.724125,0.645,0.164187,6830,6728.07296432824
"4","0","10","0","5",1,"1",0.4275,0.423596,0.574167,0.221396,4304,4108.4195885154
"1","0","3","0","4",1,"1",0.198333,0.200133,0.318333,0.225754,1685,1747.0405781746
"4","1","11","0","3",1,"1",0.353333,0.364892,0.61375,0.103246,5146,5140.77468809413
"1","0","2","0","5",1,"2",0.211304,0.228587,0.585217,0.127839,1708,1644.41886304207
"1","1","1","1","1",0,"1",0.19,0.190663,0.5225,0.231358,2298,2390.72648888889
"3","1","8","0","2",1,"1",0.649167,0.601025,0.67375,0.0727708,7006,7012.56410128349
"4","1","12","0","4",1,"1",0.295833,0.294188,0.485833,0.174129,5532,5271.42366771467
"3","1","9","0","4",1,"1",0.6125,0.579558,0.637083,0.0827208,7804,7701.72206725314
"1","0","1","0","1",1,"2",0.180833,0.18625,0.60375,0.187192,1501,1512.44426977102
"1","0","1","0","5",1,"2",0.203478,0.223317,0.793043,0.1233,1167,1250.06922375636
"3","1","6","0","1",1,"1",0.715833,0.654042,0.504167,0.300383,6779,6797.62644551314
"2","0","5","0","6",0,"1",0.655833,0.612379,0.729583,0.230092,4758,4876.92232427409
"3","1","7","0","1",1,"1",0.741667,0.690017,0.694167,0.138683,6966,6907.004173347
"4","0","10","0","2",1,"2",0.566667,0.546096,0.80875,0.143042,4563,4385.0758952381
"4","0","11","0","3",1,"1",0.325,0.311221,0.613333,0.271158,3613,3573.27373082309
"2","1","6","0","1",1,"2",0.568333,0.544842,0.777917,0.174746,5099,5196.27457936508
"4","0","9","0","0",0,"2",0.634167,0.572637,0.845,0.0503792,5010,4712.88007142857
"2","0","4","0","0",0,"1",0.378333,0.378767,0.48,0.182213,3249,3060.27193333333
"3","1","7","0","4",1,"1",0.715833,0.654683,0.529583,0.146775,7446,7191.22611031931
"4","0","10","0","4",1,"2",0.47,0.457046,0.812917,0.197763,2659,3215.35205
"4","1","10","0","0",0,"2",0.415833,0.419813,0.708333,0.141162,3510,4398.02558333333
"3","0","8","0","1",1,"1",0.636667,0.607958,0.554583,0.159825,4634,4740.11784703196
"1","0","2","0","3",1,"2",0.26,0.254417,0.775417,0.264308,1526,1650.49640759475
"1","1","3","0","1",1,"1",0.466667,0.459592,0.489167,0.207713,5298,5229.17664805358
"3","1","7","0","0",0,"1",0.745833,0.705196,0.717917,0.166667,6031,6281.16504891775
"3","1","9","0","6",0,"1",0.608333,0.585867,0.501667,0.247521,8714,8041.55435476191
"3","0","8","0","5",1,"1",0.710833,0.656567,0.630833,0.184696,4866,4797.18674941847
"2","0","4","0","1",1,"1",0.5125,0.503146,0.5425,0.163567,3429,3836.45398863636
"3","1","7","0","1",1,"1",0.730833,0.684987,0.66875,0.153617,7105,6964.34381274094
"1","1","12","0","3",1,"3",0.243333,0.220333,0.823333,0.316546,441,1410.12531904762
"3","0","7","0","4",1,"1",0.779167,0.7399,0.583333,0.178479,4390,4472.45723407019
"2","1","5","0","3",1,"2",0.575,0.553025,0.744167,0.216412,4717,5088.50370299145
"4","0","12","0","0",0,"1",0.330833,0.3491,0.775833,0.0839583,3485,3471.86424979857
"2","0","4","0","4",1,"1",0.4375,0.433696,0.602917,0.162312,3141,3290.21401746032
"3","0","8","0","5",1,"1",0.708333,0.654042,0.415,0.125621,4905,4970.99480279148
"4","1","10","0","3",1,"1",0.5875,0.558721,0.63625,0.0727792,7693,7527.06845693568
"1","0","2","0","2",1,"1",0.182222,0.186033,0.577778,0.195683,1450,1515.51743113276
"1","0","2","0","5",1,"2",0.364348,0.350461,0.712174,0.346539,1461,1787.38937266361
"4","1","10","0","6",0,"1",0.393333,0.391396,0.494583,0.146142,7109,6284.68885714286
"3","0","8","0","5",1,"2",0.685,0.633221,0.722917,0.139308,4153,4291.41003672439
"3","0","7","0","1",1,"1",0.746667,0.703925,0.65125,0.215804,4458,4428.83860636725
"2","1","4","0","4",1,"1",0.498333,0.493046,0.6125,0.0659292,6565,6551.46513359819
"2","1","5","0","6",0,"2",0.621667,0.584608,0.756667,0.152992,6883,6388.58944084968
"1","1","3","0","5",1,"2",0.410833,0.397083,0.407083,0.4148,4569,4233.90398116883
"3","0","9","0","2",1,"1",0.650833,0.603554,0.7125,0.141804,4763,4828.82966817707
"3","0","7","0","3",1,"1",0.768333,0.74685,0.707083,0.113817,4332,4426.45316036383
"4","1","12","0","5",1,"2",0.320833,0.321958,0.764167,0.1306,5008,4850.32193505383
"4","0","12","0","2",1,"2",0.385833,0.396454,0.595417,0.0615708,3750,3715.90424314966
"1","0","12","0","5",1,"1",0.373333,0.377513,0.68625,0.274246,2209,2255.26442077922
"3","1","7","0","3",1,"1",0.716667,0.650271,0.633333,0.151733,7264,7179.11698535539
"1","0","3","0","3",1,"2",0.365217,0.36693,0.776522,0.203117,2192,2081.67418335232
"1","0","1","0","0",0,"2",0.363478,0.353739,0.696087,0.248539,801,1314.17438160173
"2","0","4","0","2",1,"1",0.631667,0.594083,0.729167,0.3265,4400,4358.15220484173
"2","0","5","0","3",1,"1",0.5425,0.5284,0.632917,0.120642,4182,4485.85974283477
"1","1","1","1","1",0,"1",0.273043,0.252304,0.381304,0.329665,1951,2481.55002164502
"4","1","12","0","0",0,"2",0.384167,0.390146,0.905417,0.157975,3228,3936.84420952381
"3","1","9","0","4",1,"1",0.546667,0.532192,0.618333,0.118167,7720,7506.6529421694
"2","1","5","0","2",1,"1",0.7225,0.672992,0.684583,0.2954,5743,6065.49297119778
"2","0","6","0","0",0,"2",0.648333,0.616804,0.6525,0.138692,4906,4795.04678412698
"1","1","3","0","3",1,"1",0.5725,0.548617,0.507083,0.115062,6312,6259.93544309775
"3","0","7","0","6",0,"1",0.686667,0.638263,0.585,0.208342,5923,5450.94309804337
"3","0","8","0","1",1,"1",0.765,0.703283,0.592083,0.192175,4326,4402.0363533939
"2","1","4","0","5",1,"1",0.403333,0.390767,0.377083,0.300388,6460,5963.27068227232
"3","1","7","0","5",1,"1",0.828333,0.752533,0.450833,0.146142,6207,5997.05264045082
"1","1","12","0","4",1,"2",0.254167,0.226642,0.652917,0.350133,2114,2283.83421532091
"3","0","8","0","2",1,"1",0.640833,0.606067,0.455417,0.146763,5895,5357.2759304967
"4","1","11","0","1",1,"1",0.319167,0.308075,0.494167,0.236325,5259,5155.8423591453
"4","1","9","0","1",1,"1",0.514167,0.502513,0.492917,0.142404,7436,7195.94211482093
"4","1","12","0","2",1,"1",0.475833,0.469054,0.73375,0.174129,6606,6195.4165590803
"3","0","6","0","3",1,"1",0.733333,0.693829,0.7075,0.172262,4507,4589.03050036647
"4","0","12","0","1",1,"1",0.276667,0.280933,0.6375,0.172896,3403,3385.8250380825
"2","0","3","0","4",1,"2",0.285,0.270833,0.805833,0.243787,1865,1985.28449675325
"1","1","2","0","6",0,"3",0.224167,0.210867,0.73125,0.289796,2169,2016.83391731602
"4","0","11","0","0",0,"2",0.463333,0.457058,0.684583,0.18595,3520,3683.8405047619
"3","0","7","0","3",1,"1",0.775,0.690667,0.402917,0.183463,4656,4670.2087243896
"4","1","10","0","0",0,"1",0.464167,0.456429,0.51,0.166054,6824,6571.35421017741
"3","0","7","1","1",0,"2",0.726667,0.665417,0.637917,0.0814792,6043,5403.68082222222
"4","1","10","0","5",1,"1",0.4375,0.433071,0.539167,0.235092,7282,6771.57542047821
"1","1","1","0","3",1,"1",0.303333,0.275254,0.443333,0.415429,3376,3420.76608445347
"3","1","7","0","2",1,"1",0.750833,0.70645,0.655,0.211454,7592,6975.67057126568
"3","0","9","0","6",0,"1",0.66,0.607962,0.75375,0.153608,5345,5132.88436182404
"3","0","6","0","3",1,"1",0.728333,0.654688,0.497917,0.261821,5225,5086.79423455024
"2","0","6","0","6",0,"1",0.725,0.678038,0.654583,0.15485,4966,4975.8769020264
"3","0","8","0","2",1,"1",0.775,0.724121,0.570417,0.151121,4602,4585.22950093812
"2","0","6","0","0",0,"1",0.6925,0.643325,0.747917,0.163567,4460,4666.4161712291
"4","1","12","0","2",1,"2",0.353333,0.338363,0.596667,0.296037,5501,5014.9561732462
"2","1","3","0","4",1,"1",0.494167,0.482304,0.439167,0.31965,6133,5971.76096472025
"1","1","3","0","1",1,"1",0.545,0.532821,0.72875,0.162317,6153,6063.4653658802
"2","0","6","0","4",1,"2",0.628333,0.595346,0.688333,0.206471,3767,4114.60110141525
"4","1","10","0","6",0,"2",0.53,0.515133,0.72,0.235692,7852,6902.61358076923
"3","0","7","0","6",0,"1",0.733333,0.664158,0.609167,0.167912,5336,5227.56655370414
"2","0","6","0","5",1,"1",0.755,0.703292,0.605,0.140554,4586,4596.37858671207
"4","0","10","0","2",1,"2",0.5325,0.522721,0.701667,0.110087,4748,4637.23038874459
"1","1","1","0","1",1,"1",0.269167,0.262625,0.400833,0.215792,3624,3378.06142763348
"4","1","10","0","1",1,"3",0.44,0.4394,0.88,0.3582,22,2163.31534444444
"4","1","11","0","2",1,"1",0.280833,0.281567,0.567083,0.173513,5686,5230.76014783125
"3","1","8","0","3",1,"2",0.75,0.707717,0.672917,0.1107,7534,7243.21506335886
"3","1","8","0","2",1,"2",0.735833,0.697621,0.70375,0.116908,7273,6976.44187446998
"3","1","9","0","0",0,"1",0.61,0.578925,0.5475,0.224496,8227,7776.28818515406
"4","1","9","0","3",1,"1",0.635,0.596613,0.630833,0.2444,7733,7498.65574064536
"2","1","3","0","6",0,"2",0.424167,0.421708,0.738333,0.250617,6235,5526.56933076923
"1","1","1","0","2",1,"1",0.15,0.126275,0.44125,0.365671,2236,2270.35513333333
"1","1","2","0","2",1,"1",0.359167,0.353525,0.395833,0.193417,4363,4219.17974559804
"2","1","4","0","4",1,"1",0.435,0.431163,0.374167,0.219529,6457,6192.71581306375
"3","1","7","0","5",1,"2",0.731667,0.667933,0.485833,0.08085,7499,7229.01218009768
"4","1","12","0","3",1,"1",0.438333,0.428012,0.485,0.324021,5729,5642.98762002165
"1","0","1","0","2",1,"2",0.223478,0.234526,0.616957,0.129796,1985,1700.40686692109
"2","1","5","0","3",1,"1",0.564167,0.537896,0.797083,0.138058,6169,6177.91704505911
